SingleThreaded_cpu,SingleThreaded_wall,SingleThreadedSimd_cpu,SingleThreadedSimd_wall,OpenMP_cpu,OpenMP_wall,OpenMPSimd_cpu,OpenMPSimd_wall,Cuda_cpu,Cuda_wall,CudaSimd_cpu,CudaSimd_wall,OpenCL_cpu,OpenCL_wall
3.34284e+06,3.34398e+06,859933,859933,7.64408e+06,956504,1.50003e+06,187646,76067,76148,79470,79546,87471,87464
3.34264e+06,3.34358e+06,860046,860051,7.72405e+06,966352,1.50013e+06,187664,75948,76027,79365,79463,87674,87652
3.34288e+06,3.34393e+06,859756,859752,7.72827e+06,966798,1.63999e+06,205423,76009,76098,79586,79655,87618,87603
3.34232e+06,3.34306e+06,859302,859309,7.72175e+06,966716,1.7327e+06,216404,76080,76160,79523,79568,87615,87608
3.34248e+06,3.34314e+06,859394,859392,8.4533e+06,1.05742e+06,1.7196e+06,215642,75972,76060,79616,79696,87601,87589
3.3428e+06,3.34358e+06,859089,859092,7.64502e+06,956672,1.72418e+06,215697,76198,76272,79857,79978,87644,87630
3.34256e+06,3.34331e+06,859399,859402,7.56029e+06,946182,1.72182e+06,215381,76018,76096,79418,79490,87769,87751
3.34254e+06,3.34322e+06,859242,859243,7.56785e+06,946669,1.40913e+06,176426,76014,76090,79372,79446,87629,87606
3.34299e+06,3.34375e+06,859180,859182,7.57258e+06,947424,1.43523e+06,179535,76199,76273,79477,79553,87586,87580
3.34266e+06,3.34287e+06,860184,860187,7.5885e+06,949630,1.43986e+06,180208,76108,76183,80097,80181,87592,87575
3.34322e+06,3.34323e+06,859853,859851,7.59907e+06,951313,1.44693e+06,181159,76070,76168,79449,79550,87636,87619
3.34293e+06,3.34292e+06,859380,859386,7.6051e+06,951433,1.45211e+06,181843,76084,76165,79436,79511,87660,87652
3.34279e+06,3.3428e+06,859236,859238,7.59807e+06,950554,1.46082e+06,182640,76236,76325,79484,79550,87564,87537
3.3428e+06,3.34281e+06,859357,859360,7.59825e+06,951375,1.4538e+06,182207,76062,76126,79375,79451,87630,87614
3.34298e+06,3.34298e+06,859535,859534,7.59612e+06,950259,1.45784e+06,182209,76041,76128,79357,79446,87923,87907
3.34271e+06,3.34272e+06,859298,859302,7.71e+06,964680,1.45661e+06,182583,76135,76213,79650,79749,87993,87976
3.34249e+06,3.34249e+06,858748,858753,7.73347e+06,967606,1.45961e+06,182342,75908,75986,79397,79479,87890,87883
3.34253e+06,3.34252e+06,859150,859161,7.72856e+06,966786,1.46014e+06,182513,75972,76047,79391,79464,87969,87953
3.3425e+06,3.34251e+06,858846,858855,7.92323e+06,991282,1.45474e+06,182361,76081,76166,79503,79578,88129,88104
3.34283e+06,3.34283e+06,858644,858649,8.34238e+06,1.04393e+06,1.45959e+06,182436,76043,76118,79453,79532,87651,87644
3.34297e+06,3.34296e+06,858859,858862,7.51805e+06,940680,1.46033e+06,182582,75932,76009,79520,79596,87566,87549
3.34249e+06,3.34252e+06,859363,859364,7.58204e+06,948705,1.45868e+06,182778,75988,76070,79442,79521,87599,87583
3.34258e+06,3.34257e+06,858859,858864,7.59092e+06,950052,1.46206e+06,182788,76066,76140,79321,79395,87623,87607
3.34325e+06,3.34326e+06,859029,859030,7.60206e+06,951338,1.4616e+06,182743,76112,76199,79419,79511,88061,88045
3.34262e+06,3.34263e+06,858646,858647,7.64332e+06,956409,1.45788e+06,182789,76093,76183,79338,79430,87985,87970
3.34303e+06,3.34303e+06,859047,859048,7.63675e+06,955360,1.46383e+06,183063,75964,76040,79483,79558,87987,87969
3.34338e+06,3.34339e+06,859046,859048,7.6427e+06,956312,1.46401e+06,183061,75944,76008,79531,79607,87871,87869
3.3427e+06,3.34272e+06,859205,859208,7.63579e+06,955218,1.46615e+06,183276,77390,77474,79372,79447,88044,88040
3.3427e+06,3.3427e+06,859329,859327,7.65194e+06,957611,1.4614e+06,183270,75910,75984,79335,79422,87941,87926
3.34174e+06,3.34176e+06,859011,859012,7.68698e+06,961420,1.46521e+06,183276,76036,76113,79398,79477,88102,88077
3.34194e+06,3.34195e+06,860028,860028,7.78305e+06,974345,1.45927e+06,183110,75923,76017,79429,79513,87932,87915
3.34165e+06,3.34166e+06,859156,859168,7.78504e+06,973816,1.46563e+06,183323,76089,76178,79598,79676,87975,87958
3.34193e+06,3.34193e+06,859349,859350,7.77732e+06,973166,1.46619e+06,183281,76094,76161,79422,79498,87892,87885
3.34174e+06,3.34176e+06,859715,859718,8.44484e+06,1.05706e+06,1.4592e+06,182980,76069,76158,79432,79515,88000,87984
3.34243e+06,3.34243e+06,859897,859899,7.79417e+06,975460,1.46464e+06,183184,75971,76046,79487,79562,87952,87935
3.34186e+06,3.34186e+06,859565,859563,7.59969e+06,950658,1.46043e+06,182588,76078,76163,79513,79587,88145,88129
3.34254e+06,3.34255e+06,858539,858541,7.63153e+06,954759,1.46233e+06,182826,75989,76066,79473,79551,87884,87867
3.34257e+06,3.34257e+06,859233,859231,7.6385e+06,955617,1.45906e+06,182929,76102,76192,79569,79629,87925,87912
3.34277e+06,3.34279e+06,858727,858723,7.65155e+06,957597,1.46563e+06,183319,76025,76102,79461,79549,87955,87941
3.34223e+06,3.34224e+06,860167,860171,7.64501e+06,956535,1.45817e+06,182476,76089,76165,79506,79584,87922,87906
3.34293e+06,3.34293e+06,859134,859139,7.65133e+06,957555,1.46285e+06,182947,76203,76281,79492,79571,88076,88061
3.34326e+06,3.34326e+06,859500,859502,7.69951e+06,965210,1.45981e+06,183042,76020,76096,79493,79567,88053,88040
3.34326e+06,3.34328e+06,858761,858762,7.65658e+06,958498,1.46285e+06,182898,75996,76071,79510,79585,88043,88027
3.34315e+06,3.34315e+06,859672,859673,7.75431e+06,969941,1.4653e+06,183153,76057,76135,79443,79516,88075,88069
3.34255e+06,3.34256e+06,859279,859277,7.79385e+06,975453,1.46515e+06,183228,76074,76152,79478,79552,87694,87677
3.34203e+06,3.34206e+06,858909,858914,7.7833e+06,973795,1.462e+06,183377,75866,75936,79431,79505,87601,87584
3.34184e+06,3.34185e+06,859729,859732,8.04443e+06,1.00673e+06,1.52311e+06,193628,75887,75967,79339,79413,87658,87634
3.34174e+06,3.34175e+06,859436,859443,8.28965e+06,1.03741e+06,1.46626e+06,183402,76110,76180,79482,79557,87643,87629
3.34122e+06,3.34124e+06,860366,860375,7.57629e+06,947883,1.46706e+06,183510,76035,76124,79482,79566,87595,87570
3.34158e+06,3.34157e+06,859149,859148,7.63216e+06,954805,1.46272e+06,183462,76094,76181,79317,79384,87611,87608
3.34212e+06,3.34212e+06,859712,859717,7.63399e+06,955308,1.45997e+06,183076,76155,76235,79544,79649,87624,87614
3.34195e+06,3.34196e+06,859552,859556,7.63367e+06,958898,1.46789e+06,183666,76029,76102,79466,79541,87560,87553
3.34144e+06,3.34144e+06,859252,859250,7.65415e+06,957363,1.46741e+06,183553,75980,76063,79343,79432,87658,87631
3.34084e+06,3.34085e+06,859526,859526,7.65359e+06,957906,1.46932e+06,183853,75964,76044,79547,79622,87669,87653
3.3413e+06,3.34131e+06,859783,859786,7.65694e+06,957766,1.46651e+06,183426,76044,76125,79460,79534,87692,87675
3.34202e+06,3.34203e+06,862964,862995,7.6641e+06,959034,1.47069e+06,183926,75904,75982,79457,79529,87613,87598
3.34256e+06,3.34256e+06,862274,862278,7.65576e+06,958199,1.4685e+06,183765,75917,76005,79455,79504,87642,87625
3.34257e+06,3.34258e+06,862327,862339,7.69318e+06,962284,1.46896e+06,183813,75951,76030,79513,79555,87594,87588
3.34322e+06,3.34323e+06,861168,861169,7.78434e+06,974302,1.47112e+06,184108,76155,76236,79597,79648,87890,87866
3.34283e+06,3.34284e+06,861824,861828,7.77855e+06,973174,1.47878e+06,185231,76125,76188,79599,79706,88029,88022
3.34261e+06,3.34264e+06,861380,861378,7.77611e+06,972681,1.50348e+06,188140,76079,76165,79630,79723,88066,88045
3.34375e+06,3.34375e+06,861082,861086,8.5474e+06,1.06981e+06,1.5021e+06,187969,76106,76184,79661,79849,87909,87892
3.34295e+06,3.34296e+06,860804,860818,7.66902e+06,959531,1.50219e+06,187878,76076,76156,79558,79600,87922,87907
3.34214e+06,3.34217e+06,860518,860521,7.64239e+06,956329,1.50242e+06,188015,76137,76218,79694,79788,87823,87805
3.3426e+06,3.3426e+06,859949,859958,7.63498e+06,955130,1.50212e+06,187940,75994,76084,79455,79530,87938,87911
3.342e+06,3.34201e+06,860791,860791,7.64715e+06,957304,1.5018e+06,187902,76021,76088,79789,79873,87943,87936
3.34182e+06,3.34182e+06,870943,870970,7.65719e+06,957743,1.50206e+06,187950,76032,76109,79542,79643,88027,88011
3.3415e+06,3.3415e+06,860755,860762,7.65355e+06,957881,1.5024e+06,188040,76022,76098,79482,79603,88094,88077
3.34138e+06,3.34138e+06,858737,858736,7.64848e+06,957046,1.50073e+06,187747,76056,76143,79457,79524,87639,87633
